tank_id	time	pH	temp	quantity_liters
87	2025-01-09 18:00:00	6.53	23.23	459
87	2025-01-04 14:00:00	7.58	25.87	328
74	2025-01-07 15:00:00	7.03	22.3	824
57	2025-01-07 13:00:00	6.85	23.0	409
33	2025-01-04 14:00:00	6.72	23.89	680
3	2025-01-01 16:00:00	6.68	26.61	535
50	2025-01-10 09:00:00	7.86	23.27	691
72	2025-01-01 11:00:00	7.47	26.8
10	2025-01-07 16:00:00	6.84	22.59	693
72	2025-01-11 06:00:00	7.44	23.41	682
90	2025-01-10 08:00:00	6.93	27.17	633
69	2025-01-03 13:00:00	6.73	27.04	809
49	2025-01-06 20:00:00	6.63	27.57	319
69	2025-01-05 00:00:00	6.8	28.0
15	2025-01-04 13:00:00	7.3	22.6	640
49	2025-01-10 16:00:00	6.78	23.5	356
3	2025-01-10 00:00:00	6.69	23.67	715
85	2025-01-05 14:00:00	6.69	26.41	709
97	2025-01-10 13:00:00	7.12	24.39	264
88	2025-01-04 13:00:00	7.5	27.37	926
86	2025-01-09 19:00:00	6.72	23.14	903
32	2025-01-11 17:00:00	7.88	25.59	900
34	2025-01-03 22:00:00	6.75	26.96	963
26	2025-01-05 09:00:00	7.15	26.18	377
71	2025-01-06 06:00:00	7.28	25.48	621
34	2025-01-03 22:00:00	6.91	27.48
95	2025-01-08 14:00:00	7.93	22.53	538
79	2025-01-10 15:00:00	6.59	23.27
93	2025-01-07 12:00:00	6.94	27.91	516
9	2025-01-03 18:00:00	7.23	23.46	322
85	2025-01-05 13:00:00	7.71	22.75	793
81	2025-01-04 18:00:00	7.36	22.58	326
10	2025-01-08 09:00:00	7.51	24.0
71	2025-01-05 00:00:00	7.89	22.57	256
53	2025-01-09 10:00:00	7.93	22.62	371
44	2025-01-04 21:00:00	7.63	24.91	639
82	2025-01-09 07:00:00	7.3	23.97
21	2025-01-04 18:00:00	7.16	23.44	466
54	2025-01-09 16:00:00	7.67	22.35	668
86	2025-01-10 11:00:00	6.77	26.54	327
47	2025-01-06 09:00:00	7.06	23.6	847
78	2025-01-11 01:00:00	7.2	24.86	387
96	2025-01-01 14:00:00	6.75	23.58
50	2025-01-08 13:00:00	6.8	25.41	778
71	2025-01-10 14:00:00	7.15	27.83	598
11	2025-01-10 17:00:00	7.47	23.05	677
73	2025-01-05 05:00:00	7.94	22.97	990
85	2025-01-11 06:00:00	7.05	24.47	818
29	2025-01-10 14:00:00	7.89	23.73	873
88	2025-01-01 13:00:00	7.58	24.99	520
76	2025-01-10 01:00:00	6.97	23.36
13	2025-01-07 15:00:00	6.59	26.58
88	2025-01-03 20:00:00	6.79	27.66	814
24	2025-01-11 13:00:00	7.02	27.93	764
68	2025-01-08 05:00:00	7.61	27.78	882
36	2025-01-10 10:00:00	6.52	27.49	535
26	2025-01-11 08:00:00	7.56	27.8	463
43	2025-01-01 17:00:00	7.11	26.51	976
44	2025-01-09 14:00:00	7.92	23.88	719
47	2025-01-04 23:00:00	7.74	25.03	311
40	2025-01-08 07:00:00	7.84	22.49	672
23	2025-01-11 22:00:00	7.4	24.87	398
66	2025-01-04 19:00:00	7.96	22.56
94	2025-01-09 12:00:00	7.99	27.39	509
23	2025-01-02 08:00:00	7.9	23.39
68	2025-01-06 03:00:00	7.49	23.03	429
91	2025-01-01 05:00:00	7.92	27.79	893
95	2025-01-03 14:00:00	7.8	27.55	310
31	2025-01-07 04:00:00	6.89	26.73	318
14	2025-01-03 03:00:00	7.65	24.79	320
76	2025-01-09 13:00:00	6.98	23.77	462
26	2025-01-01 08:00:00	6.73	26.29	540
42	2025-01-07 01:00:00	7.64	25.64	415
97	2025-01-09 18:00:00	7.76	26.98	674
12	2025-01-07 10:00:00	6.57	22.98	986
90	2025-01-01 13:00:00	6.86	24.66	708
61	2025-01-10 05:00:00	7.39	26.9	749
88	2025-01-02 11:00:00	6.81	25.67
6	2025-01-11 15:00:00	6.73	24.99	344
43	2025-01-03 07:00:00	7.21	27.57	855
20	2025-01-04 08:00:00	7.35	25.2	443
98	2025-01-04 07:00:00	6.76	26.68	316
27	2025-01-04 21:00:00	7.51	27.3	875
96	2025-01-04 06:00:00	7.91	23.72	830
18	2025-01-01 07:00:00	7.29	25.67	745
78	2025-01-10 01:00:00	7.84	27.79	882
63	2025-01-03 14:00:00	6.65	26.0	803
75	2025-01-10 21:00:00	7.03	27.31	677
8	2025-01-07 01:00:00	6.71	26.68	795
21	2025-01-04 08:00:00	6.58	25.06
80	2025-01-06 22:00:00	7.6	25.86	593
72	2025-01-06 22:00:00	7.25	23.13	959
18	2025-01-02 11:00:00	6.6	22.34	242
88	2025-01-06 12:00:00	7.87	26.93	318
26	2025-01-05 09:00:00	7.15	26.6
39	2025-01-09 04:00:00	7.19	22.03	528
18	2025-01-04 22:00:00	6.9	27.26
34	2025-01-01 14:00:00	7.07	22.22	674
71	2025-01-04 16:00:00	6.94	26.03	470
